survived,pclass,age,sibsp,parch,fare,adult_male,alone,sex_male,embarked_Q,embarked_S,class_Second,class_Third,who_man,who_woman,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,embark_town_Queenstown,embark_town_Southampton,alive_yes
0,3,0.2711736617240513,1,0,7.25,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False
1,1,0.4722292033174164,1,0,71.2833,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,3,0.32143754712239253,0,0,7.925,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True
1,1,0.43453128926866047,1,0,53.1,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True
0,3,0.43453128926866047,0,0,8.05,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False
0,3,,0,0,8.4583,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False
0,1,0.6732847449107816,0,0,51.8625,True,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
0,3,0.01985423473234481,3,1,21.075,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
1,3,0.33400351847197784,0,2,11.1333,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True
1,2,0.17064589092736868,1,0,30.0708,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1,3,0.04498617743151546,1,1,16.7,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True
1,1,0.7235486303091229,0,0,26.55,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True
0,3,0.24604171902488062,0,0,8.05,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False
0,3,0.4847951746670017,1,5,31.275,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False
0,3,0.17064589092736868,0,0,7.8542,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
1,2,0.6858507162603669,0,0,16.0,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True
0,3,0.01985423473234481,4,1,29.125,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1,2,,0,0,13.0,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,True
0,3,0.38426740387031916,1,0,18.0,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False
1,3,,0,0,7.225,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
0,2,0.43453128926866047,0,0,26.0,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False
1,2,0.42196531791907516,0,0,13.0,True,True,True,False,True,True,False,True,False,False,False,True,False,False,False,False,True,True
1,3,0.18321186227695402,0,0,8.0292,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
1,1,0.3465694898215632,0,0,35.5,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True
0,3,0.09525006282985675,3,1,21.075,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
1,3,0.4722292033174164,1,5,31.3875,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True
0,3,,0,0,7.225,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
0,1,0.23347574767529528,3,2,263.0,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
1,3,,0,0,7.8792,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True
0,3,,0,0,7.8958,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False
0,1,0.4973611460165871,0,0,27.7208,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,1,,1,0,146.5208,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,3,,0,0,7.75,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True
0,2,0.8240764011058055,0,0,10.5,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False
0,1,0.3465694898215632,1,0,82.1708,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0,1,0.5224930887157577,1,0,52.0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
1,3,,0,0,7.2292,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
0,3,0.2586076903744659,0,0,8.05,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False
0,3,0.22090977632570996,2,0,18.0,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False
1,3,0.17064589092736868,1,0,11.2417,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0,3,0.4973611460165871,1,0,9.475,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False
0,2,0.33400351847197784,1,0,21.0,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False
0,3,,0,0,7.8958,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
1,2,0.032420206081930136,1,2,41.5792,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1,3,0.23347574767529528,0,0,7.8792,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True
0,3,,0,0,8.05,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False
0,3,,1,0,15.5,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False
1,3,,0,0,7.75,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True
0,3,,2,0,21.6792,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
0,3,0.22090977632570996,1,0,17.8,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False
0,3,0.08268409148027142,4,1,39.6875,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
0,3,0.2586076903744659,0,0,7.8,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False
1,1,0.610454888162855,1,0,76.7292,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
1,2,0.35913546117114853,1,0,26.0,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True
0,1,0.8115104297562201,0,1,61.9792,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
1,1,,0,0,35.5,True,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True
1,2,0.2586076903744659,0,0,10.5,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True
0,3,0.35285247549635584,0,0,7.2292,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
1,2,0.05755214878110078,1,2,27.75,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True
0,3,0.13294797687861273,5,2,46.9,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
0,3,0.2711736617240513,0,0,7.2292,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
1,1,0.4722292033174164,0,0,80.0,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True
0,1,0.5601910027645137,1,0,83.475,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
